                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.421,                  3.301,                 2.0134,                0.27595,                0.59077,                0.42151,                0.31443,                0.84438,                 3.6135,                 1.4726,              0.0001875,              0.0001875,              0.0001875
                      2,                0.92474,                 2.0806,                 1.6204,                0.55164,                0.67565,                0.59246,                 0.5016,                 0.6683,                 2.4721,                 1.1832,             0.00038366,             0.00038366,             0.00038366
                      3,                 0.8271,                 1.7166,                 1.5231,                0.75639,                0.81897,                0.86314,                0.71162,                 0.7014,                 1.6124,                 1.1721,             0.00057587,             0.00057587,             0.00057587
                      4,                0.79501,                 1.4053,                 1.5579,                0.83804,                0.96875,                0.92692,                0.79426,                0.71379,                 1.1618,                 1.1438,             0.00076411,             0.00076411,             0.00076411
                      5,                0.83062,                 1.1559,                 1.4885,                0.90948,                0.93304,                0.97716,                0.83558,                0.68744,                0.87096,                 1.0954,             0.00094839,             0.00094839,             0.00094839
                      6,                0.77568,                 1.0553,                  1.504,                0.96251,                0.92223,                0.99167,                0.87197,                 0.6517,                0.76505,                 1.1386,              0.0011287,              0.0011287,              0.0011287
                      7,                0.77746,                 0.8891,                 1.4788,                0.88587,                0.99449,                0.99167,                0.87612,                0.61163,                0.80356,                  1.115,              0.0011757,              0.0011757,              0.0011757
                      8,                0.71193,                0.76925,                 1.3714,                0.98389,                0.96875,                0.99167,                0.86516,                0.58712,                0.61592,                  1.152,              0.0011634,              0.0011634,              0.0011634
                      9,                0.68046,                 0.7199,                 1.4426,                0.92946,                0.96698,                0.98111,                 0.8522,                0.60521,                0.58196,                  1.105,               0.001151,               0.001151,               0.001151
                     10,                0.65951,                 0.6514,                 1.3997,                0.98083,                      1,                  0.995,                0.86662,                0.59879,                0.51004,                 1.1231,              0.0011386,              0.0011386,              0.0011386
                     11,                0.67929,                0.62843,                  1.428,                0.96982,                0.99338,                  0.995,                0.87444,                0.57051,                0.49522,                 1.0899,              0.0011263,              0.0011263,              0.0011263
                     12,                0.64124,                0.60805,                 1.4055,                0.98514,                      1,                  0.995,                0.87883,                0.51137,                0.44368,                 1.0383,              0.0011139,              0.0011139,              0.0011139
                     13,                0.66424,                0.61552,                 1.4114,                0.97898,                      1,                  0.995,                0.90292,                0.48289,                0.41803,                 1.0642,              0.0011015,              0.0011015,              0.0011015
                     14,                0.64734,                0.57545,                 1.4313,                0.97476,                      1,                  0.995,                0.90699,                0.46895,                0.43572,                 1.0809,              0.0010891,              0.0010891,              0.0010891
                     15,                0.63774,                0.53405,                 1.3991,                  0.984,                      1,                  0.995,                 0.8823,                0.57752,                0.40789,                  1.077,              0.0010768,              0.0010768,              0.0010768
                     16,                0.66625,                0.55934,                 1.4323,                0.97989,                      1,                  0.995,                0.90041,                0.46055,                0.41345,                 1.1082,              0.0010644,              0.0010644,              0.0010644
                     17,                0.60294,                 0.5011,                  1.361,                0.97714,                0.97304,                  0.995,                0.89585,                0.49011,                0.46662,                 1.1109,               0.001052,               0.001052,               0.001052
                     18,                0.60008,                0.50661,                 1.3414,                0.98546,                      1,                  0.995,                0.91726,                0.45927,                0.37967,                 1.0645,              0.0010396,              0.0010396,              0.0010396
                     19,                0.57649,                0.48561,                 1.4128,                0.96786,                0.99642,                  0.995,                0.89443,                0.47039,                0.37207,                 1.0822,              0.0010273,              0.0010273,              0.0010273
                     20,                0.60212,                0.50709,                 1.4287,                0.98379,                0.97866,                  0.995,                0.91834,                0.49578,                0.39609,                 1.0797,              0.0010149,              0.0010149,              0.0010149
                     21,                0.56479,                0.45853,                  1.365,                0.97125,                 0.9738,                  0.995,                0.89287,                0.50523,                0.43743,                 1.0392,              0.0010025,              0.0010025,              0.0010025
                     22,                0.55264,                  0.447,                   1.36,                0.98479,                      1,                  0.995,                0.88899,                0.48707,                0.35343,                 1.0386,             0.00099013,             0.00099013,             0.00099013
                     23,                0.58759,                0.47392,                 1.3797,                0.99122,                      1,                  0.995,                0.90694,                 0.4232,                0.31547,                 1.0459,             0.00097775,             0.00097775,             0.00097775
                     24,                0.55452,                0.44489,                 1.3673,                0.98835,                      1,                  0.995,                0.90367,                0.52119,                  0.354,                 1.0639,             0.00096537,             0.00096537,             0.00096537
                     25,                0.53675,                0.44219,                 1.3137,                0.98955,                      1,                  0.995,                0.89235,                 0.5024,                0.34827,                 1.0335,               0.000953,               0.000953,               0.000953
                     26,                0.57476,                0.45109,                 1.4182,                0.98608,                      1,                  0.995,                0.89042,                 0.5074,                0.34507,                 1.0601,             0.00094062,             0.00094062,             0.00094062
                     27,                0.55194,                0.42687,                 1.3749,                0.98986,                      1,                  0.995,                0.88968,                0.47015,                0.32161,                 1.0373,             0.00092825,             0.00092825,             0.00092825
                     28,                0.55188,                0.42284,                 1.3637,                0.98753,                      1,                  0.995,                0.89445,                 0.5025,                0.33134,                 1.0487,             0.00091588,             0.00091588,             0.00091588
                     29,                0.54254,                0.41109,                  1.365,                0.98603,                      1,                  0.995,                0.90803,                0.46203,                0.32669,                 1.0458,              0.0009035,              0.0009035,              0.0009035
                     30,                  0.539,                0.42438,                 1.3821,                0.98332,                      1,                  0.995,                0.90405,                0.48194,                0.31113,                 1.0593,             0.00089112,             0.00089112,             0.00089112
                     31,                0.53229,                0.40759,                 1.3198,                0.98616,                0.99693,                  0.995,                0.92049,                 0.4631,                0.29803,                 1.0236,             0.00087875,             0.00087875,             0.00087875
                     32,                0.52797,                0.39878,                 1.3304,                0.99018,                      1,                  0.995,                0.87419,                 0.5341,                0.32594,                 1.0587,             0.00086637,             0.00086637,             0.00086637
                     33,                0.53178,                0.41085,                 1.3982,                0.97048,                0.99494,                  0.995,                0.88756,                0.54326,                0.31516,                 1.0678,               0.000854,               0.000854,               0.000854
                     34,                0.51577,                0.38564,                 1.3389,                  0.965,                      1,                  0.995,                0.89271,                0.50534,                0.32166,                  1.055,             0.00084162,             0.00084162,             0.00084162
                     35,                0.52783,                0.40577,                 1.3627,                0.99218,                      1,                  0.995,                0.90033,                0.47661,                0.28983,                 1.0482,             0.00082925,             0.00082925,             0.00082925
                     36,                 0.5179,                0.39698,                 1.3225,                0.98868,                      1,                  0.995,                0.89849,                0.52078,                0.30739,                 1.0894,             0.00081688,             0.00081688,             0.00081688
                     37,                0.49807,                0.38245,                  1.314,                0.99156,                      1,                  0.995,                0.89924,                0.49144,                 0.3102,                 1.0561,              0.0008045,              0.0008045,              0.0008045
                     38,                0.51349,                0.39087,                 1.3448,                0.98348,                      1,                  0.995,                0.90036,                0.52687,                0.33834,                 1.0326,             0.00079213,             0.00079213,             0.00079213
                     39,                0.50939,                0.39258,                 1.3931,                0.99035,                      1,                  0.995,                0.89732,                0.51896,                0.29156,                 1.0786,             0.00077975,             0.00077975,             0.00077975
                     40,                0.49937,                0.38569,                 1.4228,                0.98984,                      1,                  0.995,                0.89888,                0.46807,                 0.2946,                 1.0471,             0.00076738,             0.00076738,             0.00076738
                     41,                0.49557,                0.37291,                  1.342,                0.98832,                      1,                  0.995,                0.90205,                0.49622,                0.30823,                 1.0064,               0.000755,               0.000755,               0.000755
                     42,                0.49227,                0.36708,                 1.3369,                 0.9891,                      1,                  0.995,                0.89595,                0.51243,                0.30115,                 1.0342,             0.00074263,             0.00074263,             0.00074263
                     43,                 0.5291,                0.38813,                 1.4202,                 0.9916,                      1,                  0.995,                0.88757,                0.50824,                0.32019,                  1.042,             0.00073025,             0.00073025,             0.00073025
                     44,                0.49076,                0.36382,                 1.3632,                0.99248,                      1,                  0.995,                0.90052,                0.51267,                0.28817,                 1.0326,             0.00071788,             0.00071788,             0.00071788
                     45,                0.50395,                 0.3705,                  1.385,                0.99195,                      1,                  0.995,                0.90399,                 0.4978,                0.28768,                 1.0644,              0.0007055,              0.0007055,              0.0007055
                     46,                0.45479,                0.34761,                 1.3364,                0.98851,                      1,                  0.995,                0.90983,                 0.4621,                0.28504,                 1.0564,             0.00069313,             0.00069313,             0.00069313
                     47,                0.46073,                0.33973,                 1.3161,                0.98563,                      1,                  0.995,                 0.9184,                0.47179,                0.29553,                   1.04,             0.00068075,             0.00068075,             0.00068075
                     48,                0.47249,                0.35092,                 1.3485,                 0.9906,                      1,                  0.995,                0.90057,                0.47619,                0.29307,                 1.0431,             0.00066838,             0.00066838,             0.00066838
                     49,                 0.4976,                0.35955,                  1.381,                0.99191,                      1,                  0.995,                0.90684,                0.47154,                0.28323,                 1.0474,               0.000656,               0.000656,               0.000656
                     50,                0.47405,                0.35195,                 1.3699,                0.99243,                      1,                  0.995,                0.91164,                0.50303,                0.27888,                  1.039,             0.00064362,             0.00064362,             0.00064362
                     51,                0.45319,                0.33254,                 1.3595,                0.99084,                      1,                  0.995,                0.90222,                0.47614,                 0.2765,                 1.0557,             0.00063125,             0.00063125,             0.00063125
                     52,                 0.4609,                0.33516,                 1.3818,                0.99159,                      1,                  0.995,                0.90773,                 0.4712,                0.28652,                 1.0653,             0.00061887,             0.00061887,             0.00061887
                     53,                0.46158,                0.33973,                 1.3615,                0.99055,                      1,                  0.995,                0.91172,                0.46855,                0.27942,                 1.1119,              0.0006065,              0.0006065,              0.0006065
                     54,                0.45496,                0.34025,                  1.325,                0.99137,                      1,                  0.995,                0.90685,                0.45747,                0.27961,                 1.0437,             0.00059413,             0.00059413,             0.00059413
                     55,                0.45844,                0.34103,                 1.3255,                0.98474,                      1,                  0.995,                0.89205,                0.50383,                0.28714,                 1.0422,             0.00058175,             0.00058175,             0.00058175
                     56,                  0.465,                0.34565,                  1.386,                0.98718,                      1,                  0.995,                0.91552,                0.47239,                0.28513,                 1.0283,             0.00056938,             0.00056938,             0.00056938
                     57,                0.42464,                 0.3173,                 1.3168,                0.99149,                      1,                  0.995,                0.90325,                0.47879,                0.26877,                  1.028,               0.000557,               0.000557,               0.000557
                     58,                 0.4131,                0.30682,                 1.2901,                0.99179,                      1,                  0.995,                0.91279,                0.48125,                0.26192,                 1.0486,             0.00054463,             0.00054463,             0.00054463
                     59,                0.44813,                0.32496,                 1.3638,                0.99108,                      1,                  0.995,                0.88721,                0.51616,                0.27697,                 1.0586,             0.00053225,             0.00053225,             0.00053225
                     60,                0.45011,                0.33134,                 1.3519,                 0.9915,                      1,                  0.995,                0.89738,                0.50269,                0.27894,                 1.0801,             0.00051988,             0.00051988,             0.00051988
                     61,                0.45136,                0.32381,                 1.3922,                0.99221,                      1,                  0.995,                0.87783,                0.54777,                0.27208,                 1.0699,              0.0005075,              0.0005075,              0.0005075
                     62,                0.44285,                0.31475,                 1.3964,                 0.9924,                      1,                  0.995,                0.90294,                0.50505,                0.28911,                  1.062,             0.00049513,             0.00049513,             0.00049513
                     63,                0.42114,                0.30127,                 1.3356,                0.99295,                      1,                  0.995,                  0.903,                0.50547,                  0.277,                 1.0433,             0.00048275,             0.00048275,             0.00048275
                     64,                0.41149,                0.30655,                 1.3369,                0.99144,                      1,                  0.995,                0.89198,                0.53232,                0.29362,                 1.0703,             0.00047038,             0.00047038,             0.00047038
                     65,                0.43765,                0.31743,                 1.3722,                0.99149,                      1,                  0.995,                0.90703,                0.50878,                 0.2761,                 1.0402,               0.000458,               0.000458,               0.000458
                     66,                0.43599,                0.31453,                 1.3441,                0.99023,                      1,                  0.995,                0.89953,                0.48398,                0.27465,                 1.0416,             0.00044563,             0.00044563,             0.00044563
                     67,                0.41927,                0.31089,                 1.3517,                0.99075,                      1,                  0.995,                 0.9175,                0.49079,                0.27573,                 1.0599,             0.00043325,             0.00043325,             0.00043325
                     68,                0.45416,                0.32033,                 1.3435,                0.99045,                      1,                  0.995,                0.89684,                0.50247,                0.27099,                 1.0576,             0.00042087,             0.00042087,             0.00042087
                     69,                0.40119,                 0.2929,                 1.3156,                0.99137,                      1,                  0.995,                 0.9115,                0.50924,                0.26366,                 1.0615,              0.0004085,              0.0004085,              0.0004085
                     70,                0.40063,                0.29998,                 1.3035,                 0.9915,                      1,                  0.995,                0.90992,                0.49499,                 0.2521,                  1.068,             0.00039613,             0.00039613,             0.00039613
                     71,                 0.4171,                0.30314,                  1.329,                0.99251,                      1,                  0.995,                0.88308,                0.54634,                0.26779,                 1.0772,             0.00038375,             0.00038375,             0.00038375
                     72,                0.41743,                 0.2897,                 1.3342,                0.99207,                      1,                  0.995,                0.91045,                0.49106,                  0.249,                 1.0438,             0.00037138,             0.00037138,             0.00037138
                     73,                0.42735,                0.30273,                 1.3787,                0.99152,                      1,                  0.995,                0.90001,                0.51032,                 0.2745,                 1.0685,               0.000359,               0.000359,               0.000359
                     74,                0.40349,                0.28978,                 1.3043,                0.99094,                      1,                  0.995,                0.90003,                0.50887,                0.26626,                 1.0709,             0.00034663,             0.00034663,             0.00034663
                     75,                0.41126,                0.29801,                 1.3406,                0.99239,                      1,                  0.995,                0.91142,                0.50041,                0.26546,                 1.0593,             0.00033425,             0.00033425,             0.00033425
                     76,                0.38085,                0.28603,                 1.3413,                0.99127,                      1,                  0.995,                0.90531,                0.50425,                0.28859,                 1.0583,             0.00032188,             0.00032188,             0.00032188
                     77,                 0.4168,                0.29943,                 1.3999,                0.99134,                      1,                  0.995,                0.89643,                0.51933,                0.27299,                 1.0478,              0.0003095,              0.0003095,              0.0003095
                     78,                0.38331,                0.27971,                 1.3351,                0.99023,                      1,                  0.995,                0.89454,                   0.54,                0.27849,                 1.0677,             0.00029713,             0.00029713,             0.00029713
                     79,                0.40114,                0.28652,                 1.3564,                0.99169,                      1,                  0.995,                0.90853,                0.51423,                0.26416,                 1.0584,             0.00028475,             0.00028475,             0.00028475
                     80,                0.40995,                0.28938,                 1.3595,                0.99183,                      1,                  0.995,                0.90684,                0.51956,                0.25923,                 1.0712,             0.00027237,             0.00027237,             0.00027237
                     81,                0.37976,                0.28289,                 1.3173,                0.99093,                      1,                  0.995,                0.91264,                0.51991,                0.26505,                 1.0853,                0.00026,                0.00026,                0.00026
                     82,                0.40673,                0.28868,                  1.391,                0.99095,                      1,                  0.995,                0.90331,                0.54768,                 0.2558,                 1.0899,             0.00024762,             0.00024762,             0.00024762
                     83,                0.38689,                0.27829,                 1.3263,                0.99096,                      1,                  0.995,                0.90862,                0.52379,                0.25154,                 1.0841,             0.00023525,             0.00023525,             0.00023525
                     84,                0.38243,                0.27658,                 1.3705,                0.99133,                      1,                  0.995,                0.90875,                0.51972,                0.26293,                 1.0891,             0.00022288,             0.00022288,             0.00022288
                     85,                0.37496,                0.27847,                 1.3454,                0.99168,                      1,                  0.995,                0.90728,                0.51489,                0.27173,                 1.0933,              0.0002105,              0.0002105,              0.0002105
                     86,                0.34862,                 0.2552,                 1.3159,                0.99146,                      1,                  0.995,                0.88537,                0.53947,                0.27678,                 1.0849,             0.00019813,             0.00019813,             0.00019813
                     87,                0.38656,                0.27683,                 1.3595,                0.99177,                      1,                  0.995,                0.89124,                0.52571,                0.26476,                 1.0693,             0.00018575,             0.00018575,             0.00018575
                     88,                0.36268,                0.26686,                  1.337,                0.99198,                      1,                  0.995,                0.90196,                0.51633,                0.26479,                 1.0527,             0.00017338,             0.00017338,             0.00017338
                     89,                0.39518,                0.29001,                  1.374,                0.99212,                      1,                  0.995,                0.90507,                0.51854,                0.26096,                 1.0567,               0.000161,               0.000161,               0.000161
                     90,                0.37692,                0.27068,                  1.356,                0.99205,                      1,                  0.995,                0.90128,                0.52432,                0.26681,                 1.0606,             0.00014862,             0.00014862,             0.00014862
                     91,                0.26616,                0.19741,                 1.0219,                0.99224,                      1,                  0.995,                0.89454,                0.53528,                0.26345,                  1.066,             0.00013625,             0.00013625,             0.00013625
                     92,                0.25159,                0.18869,                 1.0214,                0.99185,                      1,                  0.995,                0.91367,                0.49066,                0.24398,                 1.0629,             0.00012387,             0.00012387,             0.00012387
                     93,                0.25262,                0.18744,                 1.0178,                0.99106,                      1,                  0.995,                0.90628,                0.51382,                0.25823,                 1.0651,              0.0001115,              0.0001115,              0.0001115
                     94,                0.24958,                0.18906,                 1.0128,                0.99093,                      1,                  0.995,                0.91159,                0.51241,                0.26229,                 1.0706,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.24163,                0.18044,                 1.0172,                0.99107,                      1,                  0.995,                0.90956,                0.49672,                0.26117,                  1.077,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.24019,                0.18276,                 1.0358,                 0.9914,                      1,                  0.995,                0.90812,                0.50445,                0.26501,                 1.0705,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.23862,                0.17529,                 1.0121,                0.99173,                      1,                  0.995,                0.91507,                0.50193,                0.27105,                 1.0715,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.23352,                0.17859,                 1.0161,                0.99192,                      1,                  0.995,                0.90153,                0.50707,                0.27688,                 1.0751,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.23173,                0.17812,                  1.026,                0.99212,                      1,                  0.995,                0.90474,                0.51334,                0.27321,                 1.0745,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.23185,                0.18112,                 1.0201,                 0.9921,                      1,                  0.995,                0.90265,                 0.5111,                0.27142,                 1.0758,             2.4875e-05,             2.4875e-05,             2.4875e-05
